n,family_ventile,dep_type,child_rank,share
109,3,High,55.9816513761468,0.00168806430131173
116,4,High,59.948275862069,0.00179647210047854
126,7,High,63,0.00195134038500256
129,8,High,62.6899224806202,0.00199780087035976
142,6,High,64.2816901408451,0.00219912964024098
145,5,High,61.0275862068966,0.00224559012559818
152,9,High,64.0723684210526,0.00235399792476499
161,10,High,60.4285714285714,0.0024933793808366
170,2,High,52.1058823529412,0.00263276083690821
171,1,High,54.421052631579,0.00264824766536061
172,11,High,60.8779069767442,0.00266373449381301
172,12,High,66.5406976744186,0.00266373449381301
194,13,High,67.5257731958763,0.00300444471976584
226,14,High,68.6283185840708,0.00350002323024268
265,15,High,69.3207547169811,0.00410400953988633
282,16,High,72.5780141843972,0.00436728562357715
288,3,Medium,46.6840277777778,0.00446020659429156
300,4,Medium,54.7633333333333,0.00464604853572037
328,5,Medium,54.7530487804878,0.0050796797323876
330,1,Medium,43.8969696969697,0.00511065338929241
336,17,High,72.5327380952381,0.00520357436000681
345,6,Medium,55.9652173913044,0.00534295581607843
352,7,Medium,53.8465909090909,0.00545136361524523
371,8,Medium,54.4932614555256,0.00574561335584086
379,10,Medium,54.5488126649077,0.00586950798346007
387,2,Medium,45.4470284237726,0.00599340261107928
389,9,Medium,55.4961439588689,0.00602437626798408
389,18,High,73.8457583547558,0.00602437626798408
424,11,Medium,58.8844339622642,0.00656641526381812
424,12,Medium,58.0589622641509,0.00656641526381812
443,13,Medium,58.3160270880361,0.00686066500441375
461,2,Low,37.1496746203905,0.00713942791655697
475,15,Medium,59.7094736842105,0.00735624351489059
482,19,High,75.0788381742739,0.00746465131405739
483,14,Medium,59.0807453416149,0.0074801381425098
502,16,Medium,62.0916334661355,0.00777438788310542
515,3,Low,39.052427184466,0.00797571665298663
516,1,Low,35.4050387596899,0.00799120348143904
556,4,Low,41.6384892086331,0.00861067661953509
577,7,Low,45.2894280762565,0.00893590001703551
578,17,Medium,66.6764705882353,0.00895138684548791
584,6,Low,41.0068493150685,0.00904430781620232
591,5,Low,42.5245346869712,0.00915271561536913
620,20,Low,63.4983870967742,0.00960183364048877
626,8,Low,45.150159744409,0.00969475461120317
638,18,Medium,65.7554858934169,0.00988059655263199
648,19,Medium,69.0833333333333,0.010035464837156
657,12,Low,49.3713850837139,0.0101748462932276
663,9,Low,45.499245852187,0.010267767263942
691,20,Medium,70.2937771345876,0.0107013984606093
693,10,Low,45.015873015873,0.0107323721175141
702,11,Low,47.7250712250712,0.0108717535735857
712,19,Low,58.0182584269663,0.0110266218581097
716,13,Low,50.0335195530726,0.0110885691719193
719,18,Low,59.029207232267,0.0111350296572765
719,15,Low,53.3240611961057,0.0111350296572765
723,20,High,78.4121715076072,0.0111969769710861
739,14,Low,52.0013531799729,0.0114447662263245
755,17,Low,56.8317880794702,0.0116925554815629
780,16,Low,55.2166666666667,0.012079726192873
1199,20,Stayers,68.1034195162636,0.0185687073144291
1386,19,Stayers,60.9314574314574,0.0214647442350281
1484,18,Stayers,57.6415094339623,0.0229824534233634
1558,17,Stayers,56.7913992297818,0.0241284787288411
1666,16,Stayers,55.6104441776711,0.0258010562017005
1770,15,Stayers,52.1536723163842,0.0274116863607502
1779,14,Stayers,51.7729061270377,0.0275510678168218
1874,13,Stayers,49.42689434365,0.0290223165197999
1930,11,Stayers,48.1974093264249,0.0298895789131344
1977,12,Stayers,49.8856853818918,0.0306174598503972
1999,10,Stayers,46.2096048024012,0.0309581700763501
2023,9,Stayers,45.8324270884825,0.0313298539592077
2104,8,Stayers,44.2172053231939,0.0325842870638522
2160,6,Stayers,42.9722222222222,0.0334515494571867
2165,5,Stayers,41.4452655889146,0.0335289835994487
2168,7,Stayers,42.9455719557196,0.0335754440848059
2206,1,Stayers,34.1613780598368,0.0341639435659971
2212,2,Stayers,35.49773960217,0.0342568645367115
2258,4,Stayers,41.8091231178034,0.034969258645522
2315,3,Stayers,38.3053995680346,0.0358520078673089
