family_quantile,child_quantile,quantile,n,share,pct,boot_se
10,1,10,325,0.0503018108651912,5.03%,0.0027489249367376
10,2,10,299,0.0462776659959759,4.63%,0.00287715360094227
10,3,10,392,0.0606717226435536,6.07%,0.00288244736172294
10,4,10,357,0.0552546045503792,5.53%,0.00282738652140435
10,5,10,407,0.0629933446834855,6.3%,0.00308938890675826
10,6,10,458,0.070886859619254,7.09%,0.00337870952332646
10,7,10,617,0.0954960532425321,9.55%,0.00366468845441378
10,8,10,724,0.11205695712738,11.21%,0.00396045218719734
10,9,10,1042,0.161275344373936,16.13%,0.00459163515689849
10,10,10,1840,0.284785636898313,28.48%,0.00500414101776064
20,1,20,71,0.0219610269099907,"",0.00281582513087969
20,2,20,82,0.0253634395298484,"",0.00283209552780891
20,3,20,58,0.0179399938137952,"",0.002656617878409
20,4,20,68,0.0210330961954841,"",0.00276300199036897
20,5,20,97,0.0300030931023817,"",0.0032340875651497
20,6,20,93,0.0287658521497062,"",0.00312281392725789
20,7,20,85,0.0262913702443551,"",0.00305945115071142
20,8,20,73,0.0225796473863285,"",0.00302364685606241
20,9,20,93,0.0287658521497062,"",0.00324060091452339
20,10,20,92,0.0284565419115373,"",0.00323464921773452
20,11,20,101,0.0312403340550572,"",0.00339109344902369
20,12,20,104,0.0321682647695639,"",0.00340826115017328
20,13,20,132,0.0408289514382926,4.08%,0.00376358469193516
20,14,20,129,0.039901020723786,<4%,0.00377756099166781
20,15,20,160,0.0494896381070214,4.95%,0.00410373607206851
20,16,20,177,0.0547479121558924,5.47%,0.00424970900475729
20,17,20,233,0.0720692854933498,7.21%,0.00466967175364757
20,18,20,276,0.0853696257346118,8.54%,0.00511998414046663
20,19,20,399,0.123414785029384,12.34%,0.00573405774014513
20,20,20,710,0.219610269099907,21.96%,0.00721172078102801
50,1,50,12,0.00925212027756361,"",0.00262617899459103
50,2,50,19,0.0146491904394757,"",0.00341438980970284
50,3,50,14,0.0107941403238242,"",0.00333029882306733
50,4,50,13,0.0100231303006939,"",0.00342908953443292
50,8,50,11,0.00848111025443331,"",0.00312780832004967
50,9,50,14,0.0107941403238242,"",0.0032758983208064
50,11,50,11,0.00848111025443331,"",0.00300248541012193
50,12,50,15,0.0115651503469545,"",0.00332287270165502
50,13,50,17,0.0131071703932151,"",0.0035165982078193
50,14,50,12,0.00925212027756361,"",0.00330929274471712
50,15,50,11,0.00848111025443331,"",0.00333987204369681
50,16,50,11,0.00848111025443331,"",0.00339078762286077
50,20,50,12,0.00925212027756361,"",0.0028889591205918
50,21,50,12,0.00925212027756361,"",0.00297516597853104
50,23,50,14,0.0107941403238242,"",0.00318585946741511
50,24,50,14,0.0107941403238242,"",0.00336610309963726
50,26,50,19,0.0146491904394757,"",0.00349347296243763
50,27,50,11,0.00848111025443331,"",0.00334858050156574
50,28,50,19,0.0146491904394757,"",0.00363156626173019
50,29,50,11,0.00848111025443331,"",0.00342697266353241
50,30,50,19,0.0146491904394757,"",0.00371070103185464
50,31,50,18,0.0138781804163454,"",0.00380978400476233
50,32,50,14,0.0107941403238242,"",0.00359501352908884
50,33,50,14,0.0107941403238242,"",0.00356536642599587
50,34,50,18,0.0138781804163454,"",0.0037141169458071
50,35,50,12,0.00925212027756361,"",0.0035594662715562
50,36,50,21,0.0161912104857363,"",0.00402047355491919
50,37,50,20,0.015420200462606,"",0.00413505784938497
50,38,50,27,0.0208172706245181,"",0.00430052432883767
50,39,50,28,0.0215882806476484,"",0.00473029888198426
50,40,50,27,0.0208172706245181,"",0.00483962583908224
50,41,50,32,0.0246723207401696,"",0.00471124084086559
50,42,50,29,0.0223592906707787,"",0.00504967301433615
50,43,50,50,0.038550501156515,<4%,0.00566186529451713
50,44,50,40,0.030840400925212,"",0.00552527075518174
50,45,50,52,0.0400925212027756,4.01%,0.00609976289472035
50,46,50,62,0.0478026214340787,4.78%,0.0062438504465292
50,47,50,76,0.0585967617579029,5.86%,0.00726736265898931
50,48,50,77,0.0593677717810332,5.94%,0.00745446332556838
50,49,50,122,0.0940632228218967,9.41%,0.00804434845041571
50,50,50,188,0.144949884348497,14.49%,0.00947670843520425
