n,method,order_method,coef,estimator,order_estim
1215,Ensemble method,4,0.0941130906274206,bot_top,4
1254,Baseline,1,0.09713400464756,bot_top,4
1260,GAM,2,0.0975987606506584,bot_top,4
1279,Boosted tree,3,0.0990704879938033,bot_top,4
4111,Baseline,1,0.318435321456236,bot_bot,3
4119,GAM,2,0.319054996127033,bot_bot,3
4146,Ensemble method,4,0.321146398140976,bot_bot,3
4147,Boosted tree,3,0.321223857474826,bot_bot,3
64530,Baseline,1,0.527499342222815,IGE,1
64530,GAM,2,0.527035272784402,IGE,1
64530,Boosted tree,3,0.474837563166365,IGE,1
64530,Ensemble method,4,0.528637996057286,IGE,1
64571,Baseline,1,0.303296992323333,RRC,2
64571,GAM,2,0.304067788332892,RRC,2
64571,Boosted tree,3,0.294556401922751,RRC,2
64571,Ensemble method,4,0.305920252430065,RRC,2
